5033=GTIS Full FX Snapshot|5034=682|5035=201|5026=1|
5033=KCBT (Kansas City Board of Trade)|5034=683|5035=201|5026=1|
5033=CME eMini Equity Package|5034=684|5035=201|5026=1|
5033=CME RTH|5034=685|5035=201|5026=1|
5033=New York Mercantile Exchange - NYMEX|5034=686|5035=201|5026=1|
5033=GTIS Spot and Forward Full FX|5034=687|5035=201|5026=1|
5033=Inactive Exchange|5034=688|5035=201|5026=1|
5033=GTIS Spot and Forward FX|5034=689|5035=201|5026=1|
5033=GTIS BBA LIBOR|5034=690|5035=201|5026=1|
5033=GTIS Precious Metals|5034=691|5035=201|5026=1|
5033=GTIS Fixed Income|5034=692|5035=201|5026=1|
5033=CBOT - ECBOT|5034=693|5035=201|5026=1|
5033=CME Indices|5034=694|5035=201|5026=1|
5033=Winnipeg Commodity Exchange|5034=695|5035=201|5026=1|
5033=GTIS Money Markets|5034=696|5035=201|5026=1|
5033=ASX Equities, Futures, Warrants and Bonds Level 2|5034=697|5035=201|5026=1|
5033=S&P Indices (CME Sourced)|5034=698|5035=201|5026=1|
5033=SWX Swiss Exchange|5034=705|5035=201|5026=1|
5033=Euronext Commodities Level 2|5034=706|5035=201|5026=1|
5033=German Stock Exchange - Dow Jones STOXX Indices|5034=707|5035=201|5026=1|
5033=OPRA Mitigated Exchange|5034=708|5035=201|5026=1|
5033=Bern Stocks|5034=709|5035=201|5026=1|
5033=Hong Kong Futures Exchange|5034=710|5035=201|5026=1|
5033=OMX - VINX Indices|5034=711|5035=201|5026=1|
5033=Hong Kong Stock Exchange|5034=712|5035=201|5026=1|
5033=Singapore Exchange (SGX)|5034=713|5035=201|5026=1|
5033=Kuala Lumpur Stock Exchange|5034=714|5035=201|5026=1|
5033=SAFEX|5034=715|5035=201|5026=1|
5033=NYSE Corporate Bonds (ABS-Automated Bond System)|5034=716|5035=201|5026=1|
5033=ComStock Internal Test Exchange|5034=717|5035=201|5026=1|
5033=New Zealand Futures Exchange|5034=718|5035=201|5026=1|
5033=NYSE TickStream|5034=719|5035=201|5026=1|
5033=Euronext Equities and Bonds Level 1 - Quotes|5034=720|5035=201|5026=1|
5033=Malaysia Derivatives Exchange (KLI ONLY)|5034=721|5035=201|5026=1|
5033=Swiss Bonds and Warrants|5034=722|5035=201|5026=1|
5033=Singapore International Monetary Exchange (SIMEX)|5034=723|5035=201|5026=1|
5033=FTSE BBC Index|5034=724|5035=201|5026=1|
5033=OMX - Nordic Equities Level 1|5034=725|5035=201|5026=1|
5033=Baltic Futures and Indices Exchange|5034=726|5035=201|5026=1|
5033=New Zealand Futures Exchange Level 2|5034=727|5035=201|5026=1|
5033=Australian Stock Exchange|5034=728|5035=201|5026=1|
5033=NYMEX emiNY contracts|5034=729|5035=201|5026=1|
5033=Euronext Indices|5034=730|5035=201|5026=1|
5033=Nasdaq Market on Close|5034=737|5035=201|5026=1|
5033=Euronext Derivatives - Equity and Index Options Level 1|5034=738|5035=201|5026=1|
5033=Eurex Repos|5034=739|5035=201|5026=1|
